"spotify_id","name","artists","snapshot_date","is_explicit","duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","__index_level_0__"
"4lIxdJw6W3Fg4vUIYCB0S5","Style","Taylor Swift","2023-10-18 00:00:00.000000000",false,231000,0.598,0.786,2,-5.572,1,0.0383,0.00253,0.0016,0.117,0.456,95.019,4,1129552
"3GZD6HmiNUhxXYf8Gch723","Lost","Frank Ocean","2023-10-18 00:00:00.000000000",true,234093,0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,4,1129551
"3IX0yuEVvDbnqUwMBB3ouC","bad idea right?","Olivia Rodrigo","2023-10-18 00:00:00.000000000",true,184783,0.627,0.879,9,-3.446,1,0.0955,0.00193,0.00000687,0.0647,0.748,129.979,4,1129550
"1s7oOCT8vauUh01PbJD6ps","Calm Down (with Selena Gomez)","Rema, Selena Gomez","2023-10-18 00:00:00.000000000",false,239317,0.799,0.802,11,-5.196,1,0.0371,0.429,0.00128,0.171,0.811,107.008,4,1129549
"1UIM8s0RvdwNkZo05WEzvh","Cinderella","JKING","2023-10-18 00:00:00.000000000",false,116720,0.727,0.726,5,-4.433,0,0.272,0.0755,0,0.115,0.693,78.172,4,1129548
"6r88rMGtfNgC0SJEytTA7c","In the Air","L.A.B.","2023-10-18 00:00:00.000000000",false,252680,0.974,0.643,9,-8.857,0,0.0452,0.105,0.00141,0.0833,0.967,117.985,4,1129547
"4Dvkj6JhhA12EX05fT7y2e","As It Was","Harry Styles","2023-10-18 00:00:00.000000000",false,167303,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4,1129546
"1Lo0QY9cvc8sUB2vnIOxDT","Fast Car","Luke Combs","2023-10-18 00:00:00.000000000",false,265493,0.712,0.603,8,-5.52,1,0.0262,0.186,0,0.115,0.67,97.994,4,1129545
"4iZ4pt7kvcaH6Yo8UoZ4s2","Snooze","SZA","2023-10-18 00:00:00.000000000",true,201800,0.559,0.551,5,-7.231,1,0.132,0.141,0,0.11,0.392,143.008,4,1129543
"2ZWmmrWUgDBcPSLihBMvhg","Baddadan (feat. IRAH, Flowdan, Trigga & Takura)","Chase & Status, Bou, Flowdan, IRAH, Trigga, Takura","2023-10-18 00:00:00.000000000",false,177291,0.62,0.935,1,-0.504,1,0.252,0.228,0.00443,0.0601,0.559,87.532,4,1129542
